Station1,Station2,Frequency,Station1_lat,Station1_lon,Station2_lat,Station2_lon
台北市災害應變中心,捷運信義安和站(4號出口),160,25.02868,121.56672,25.03305,121.55378
仁愛安和路口,捷運信義安和站(4號出口),147,25.03754,121.55285,25.03305,121.55378
寶清公園,捷運信義安和站(4號出口),152,25.05198,121.5681,25.03305,121.55378
吳興街260巷,捷運信義安和站(4號出口),286,25.02606,121.5631,25.03305,121.55378
信義路四段199巷,捷運信義安和站(4號出口),137,25.03459,121.55164,25.03305,121.55378
喬治工商,捷運信義安和站(4號出口),212,25.02705,121.55551,25.03305,121.55378
三興國小,捷運信義安和站(4號出口),217,25.02969,121.55766,25.03305,121.55378
捷運中山站(5號出口),永樂市場,549,25.05296,121.51938,25.05454,121.51052
民族延平路口,重慶長安路口,188,25.06864,121.5107,25.0515,121.51398
承德昌吉街口,樹德公園_1,152,25.06587,121.51847,25.06669,121.51615
延平北中正路口,捷運圓山站(2號出口),117,25.08678,121.50948,25.07182,121.51929
市立圖書館葫蘆堵分館,捷運圓山站(2號出口),239,25.08217,121.51074,25.07182,121.51929
捷運圓山站(2號出口),重慶國中,808,25.07182,121.51929,25.07567,121.51862
捷運圓山站(2號出口),臺北孔廟,814,25.07182,121.51929,25.07378,121.51583
延平國宅,捷運圓山站(2號出口),436,25.07894,121.51121,25.07182,121.51929
合昌宮,捷運圓山站(2號出口),153,25.07717,121.50934,25.07182,121.51929
捷運圓山站(2號出口),捷運大橋頭站(2號出口),177,25.07182,121.51929,25.06314,121.51308
大同運動中心,樹德公園_1,340,25.06496,121.51608,25.06669,121.51615
太原廣場,承德鄭州路口(市民高架下),199,25.04925,121.51468,25.04879,121.51626
成淵高中,蔣渭水紀念公園,111,25.06036,121.51996,25.06011,121.51729
寧夏涼州街口,捷運雙連站(2號出口),102,25.06095,121.51428,25.05826,121.52063
捷運中山站(2號出口),新喜公園,115,25.05228,121.52176,25.06533,121.53177
吉林路407巷口,新喜公園,357,25.06595,121.53041,25.06533,121.53177
新生公園,民族松江路口,120,25.06839,121.53032,25.06833,121.5328
捷運行天宮站(3號出口),林安泰古厝,102,25.05992,121.5333,25.07154,121.53058
中山公民會館,捷運雙連站(2號出口),109,25.06185,121.5226,25.05826,121.52063
圓環站,捷運中山站(2號出口),350,25.05369,121.51418,25.05228,121.52176
捷運中山站(2號出口),永樂市場,477,25.05228,121.52176,25.05454,121.51052
捷運中山站(2號出口),捷運中山站(5號出口),817,25.05228,121.52176,25.05296,121.51938
捷運中山站(2號出口),重慶保安街口(家樂福重慶店),133,25.05228,121.52176,25.05918,121.51373
捷運中山站(2號出口),第二果菜批發市場,138,25.05228,121.52176,25.06642,121.53735
南京林森路口(東南側),捷運中山站(2號出口),583,25.05201,121.52556,25.05228,121.52176
捷運中山站(2號出口),農安雙城街口,222,25.05228,121.52176,25.06491,121.52449
捷運中山站(2號出口),重慶酒泉街口,133,25.05228,121.52176,25.07158,121.51368
大稻埕碼頭,捷運中山站(2號出口),419,25.05662,121.50783,25.05228,121.52176
捷運中山站(2號出口),撫順公園,159,25.05228,121.52176,25.06416,121.52203
中山農安街口,撫順公園,421,25.0651,121.5224,25.06416,121.52203
新喜公園,新生公園,119,25.06533,121.53177,25.06839,121.53032
寶慶博愛路口,林森長春路口,123,25.04129,121.5112,25.05497,121.52536
中山北路二段59巷口,林森長春路口,502,25.05606,121.5229,25.05497,121.52536
林森長春路口,永盛公園(民生東路一段23巷),314,25.05497,121.52536,25.05873,121.52488
捷運南京復興站(8號出口),林森長春路口,121,25.05196,121.5433,25.05497,121.52536
中山農安街口,農安雙城街口,498,25.0651,121.5224,25.06491,121.52449
中山農安街口,圓環站,113,25.0651,121.5224,25.05369,121.51418
國立臺北大學(臺北校區),龍江錦州街口,198,25.05794,121.54244,25.06045,121.54077
國立臺北大學(臺北校區),興安華城,336,25.05794,121.54244,25.05606,121.54175
吳興公車總站,松仁路305號,400,25.02388,121.56984,25.02306,121.57036
吳興公車總站,吳興街394巷口,374,25.02388,121.56984,25.02474,121.56741
吳興街394巷口,松山車站,154,25.02474,121.56741,25.0489,121.57841
忠孝東路五段215巷口,捷運市政府站(4號出口),106,25.0409,121.5705,25.04146,121.56731
松勤莊敬路口,泰和公園,101,25.03203,121.5615,25.0193,121.57105
捷運市政府站(4號出口),永吉松信路口,244,25.04146,121.56731,25.04548,121.57207
捷運市政府站(4號出口),松山車站,156,25.04146,121.56731,25.0489,121.57841
吳興街284巷(廣安宮),吳興街284巷36弄口,503,25.02326,121.56329,25.02236,121.56268
吳興街260巷,吳興街284巷(廣安宮),364,25.02606,121.5631,25.02326,121.56329
德昌寶興街口(西北角),錦德公園,283,25.02365,121.49528,25.02332,121.49264
石牌立農街口,臺北健康護理大學(教研大樓),366,25.11879,121.51921,25.11857,121.51846
豐年公園_1,關渡宮,247,25.13597,121.49702,25.11739,121.46288
光明溫泉路口,捷運新北投站,144,25.13431,121.50226,25.13733,121.50339
